Frame,X_Position,Y_Position
4,1181,282
5,1194,262
6,1205,243
7,1218,228
8,1230,212
9,1238,201
10,1248,190
11,1258,180
12,1267,173
13,1281,162
14,1293,153
15,1307,145
16,1375,137
17,1370,131
18,1355,125
19,1356,120
20,1347,119
21,1343,119
22,1335,116
23,1330,118
24,1324,120
25,1316,122
26,1310,125
27,1306,130
28,1298,138
29,1292,145
30,1286,156
31,1280,167
32,1274,179
33,1268,193
34,1373,240
35,1256,224
36,1249,243
37,1241,262
38,1240,285
40,1180,337
44,1044,462
45,1008,500
47,936,584
48,893,632
49,852,681
54,686,752
58,536,827
59,519,800
60,509,782
61,500,766
62,487,756
66,380,764
68,567,618
69,611,578
70,647,542
71,678,517
72,729,489
73,757,458
75,824,417
77,875,383
78,899,371
79,926,361
81,968,349
83,991,343
84,988,346
85,986,350
86,985,360
87,984,362
88,980,373
89,980,385
90,977,398
91,974,410
92,974,425
93,972,445
94,973,464
95,968,485
97,968,533
98,965,563
99,965,595
100,965,626
101,965,661
102,964,699
104,967,734
105,713,691
106,970,731
107,972,733
108,972,736
109,977,743
110,977,749
111,980,758
114,982,713
115,976,662
120,958,487
121,954,459
122,952,442
123,949,422
124,949,409
125,940,396
126,943,383
127,940,376
128,935,369
129,935,365
130,933,363
132,940,375
134,942,399
135,946,412
136,948,425
137,954,448
138,958,466
140,965,500
141,970,534
142,973,562
143,977,592
144,983,627
145,988,657
146,997,700
147,997,722
148,1002,729
149,1008,738
150,1013,749
151,1016,761
157,1648,422
160,979,471
161,971,440
164,949,335
166,935,283
167,929,263
168,924,243
170,837,168
171,905,197
172,899,189
173,893,179
174,886,170
175,881,168
176,878,165
179,862,160
180,857,163
181,851,165
182,849,170
183,844,175
184,839,183
185,836,190
191,1054,583
201,1343,484
202,1659,426
203,1287,438
204,1266,423
206,1225,396
207,1205,386
209,1168,384
215,980,112
223,1002,453
225,996,408
226,993,390
227,991,376
228,986,359
229,983,347
230,981,336
231,977,326
233,949,334
234,931,348
235,905,361
238,836,413
240,785,459
241,756,486
242,736,503
243,701,542
244,671,574
245,640,608
246,609,647
247,575,683
248,542,728
252,424,776
253,389,787
254,358,799
257,250,856
258,245,845
262,252,798
271,493,541
273,546,482
274,581,455
286,561,213
288,687,480
290,662,541
291,661,531
293,655,500
294,652,493
295,650,481
296,647,473
297,643,467
298,641,460
299,638,458
300,637,457
301,632,456
302,631,457
303,628,460
304,626,463
305,623,470
306,620,477
307,617,485
308,619,498
310,611,525
311,612,537
318,622,484
319,626,452
321,637,404
322,641,381
323,647,362
3,869,659
4,862,664
5,841,687
6,829,699
7,821,710
15,824,572
17,839,527
18,844,499
19,849,486
20,860,456
23,871,407
28,893,350
29,898,338
30,894,333
32,907,321
34,910,311
36,919,308
37,921,307
45,941,320
51,950,272
54,951,246
55,951,239
57,936,241
60,913,256
62,895,274
66,856,327
67,854,338
72,802,456
80,735,705
82,713,732
83,706,729
84,698,726
86,685,730
87,676,735
88,671,738
89,662,744
90,655,754
91,651,759
92,640,772
93,634,788
94,631,796
95,629,772
96,639,717
98,648,638
99,655,592
100,656,570
101,661,540
102,668,502
103,666,494
104,668,474
105,674,446
107,674,419
108,673,404
109,682,397
110,686,383
111,683,376
112,682,369
113,684,366
123,688,265
128,691,228
139,794,254
142,825,270
143,839,280
144,855,288
148,893,324
154,967,403
155,980,419
157,1004,451
165,1121,630
177,1256,723
178,1263,727
179,1276,733
181,1295,740
183,1300,693
184,1295,665
186,1279,563
187,1275,546
188,1268,509
189,1265,476
193,1247,407
195,1232,378
196,1230,373
203,1200,354
211,1182,234
212,1188,223
